lat,lon,name,admin1,admin2,cc
33.6667,-117.9135,Costa Mesa,California,Orange,US
42.5209,-71.7717,Leominster,Massachusetts,Worcester,US
32.5193,-94.7622,Longview,Texas,Gregg,US
29.4874,-95.1087,League City,Texas,Galveston,US
34.7289,-77.3941,Jacksonville,North Carolina,Onslow,US
44.0563,-121.3095,Bend,Oregon,Deschutes,US
25.9433,-80.2426,Miami Gardens,Florida,Miami-Dade,US
26.2428,-80.1312,Pompano Beach,Florida,Broward,US
42.4959,-96.3901,Sioux City,Iowa,Woodbury,US
33.5719,-117.1909,Murrieta,California,Riverside,US
37.0046,-121.5854,Gilroy,California,Santa Clara,US
34.2741,-119.2314,San Buenaventura,California,Ventura,US
47.9525,-122.1669,Everett,Washington,Snohomish,US
29.5935,-95.6358,Sugar Land,Texas,Fort Bend,US
34.0739,-118.0291,El Monte,California,Los Angeles,US
33.0454,-96.9815,Lewisville,Texas,Denton,US
39.7578,-121.8161,Chico,California,Butte,US
44.8197,-91.4948,Eau Claire,Wisconsin,Eau Claire,US
34.0555,-117.9113,West Covina,California,Los Angeles,US
33.4928,-117.1315,Temecula,California,Riverside,US
43.4871,-112.0362,Idaho Falls,Idaho,Bonneville,US
39.1637,-86.5257,Bloomington,Indiana,Monroe,US
33.9566,-118.3444,Inglewood,California,Los Angeles,US
42.3127,-83.2130,Dearborn,Michigan,Wayne,US
39.5926,-104.8673,Centennial,Colorado,Arapahoe,US
34.1879,-118.3235,Burbank,California,Los Angeles,US
39.5736,-119.7161,Sparks,Nevada,Washoe,US
33.9366,-84.3703,Sandy Springs,Georgia,Fulton,US
32.8017,-116.9604,El Cajon,California,San Diego,US
45.5273,-122.9360,Hillsboro,Oregon,Washington,US
33.6273,-84.5800,South Fulton,Georgia,Fulton,US
32.6087,-85.4903,Auburn,Alabama,Lee,US
47.4784,-122.1918,Renton,Washington,King,US
42.7677,-86.0984,Holland,Michigan,Ottawa,US
37.5522,-122.3121,San Mateo,California,San Mateo,US
39.2004,-76.8590,Columbia,Maryland,Howard,US
37.6862,-122.4685,Daly City,California,San Mateo,US
26.0789,-80.2870,Davie,Florida,Broward,US
34.0010,-117.4706,Jurupa Valley,California,Riverside,US
42.0821,-71.0242,Brockton,Massachusetts,Plymouth,US
34.1175,-117.3892,Rialto,California,San Bernardino,US
38.0375,-78.4855,Charlottesville,Virginia,Charlottesville,US
33.9069,-118.0829,Norwalk,California,Los Angeles,US
39.5419,-104.9708,Highlands Ranch,Colorado,Douglas,US
33.1088,-96.6735,Allen,Texas,Collin,US
33.9072,-98.5291,Wichita Falls,Texas,Wichita,US
35.2873,-106.6982,Rio Rancho,New Mexico,Sandoval,US
38.3587,-121.9673,Vacaville,California,Solano,US
47.6626,-117.2346,Spokane Valley,Washington,Spokane,US
40.1686,-105.1005,Longmont,Colorado,Boulder,US
36.5224,-82.5454,Kingsport,Tennessee,Sullivan,US
33.6909,-117.1849,Menifee,California,Riverside,US
38.9171,-94.3816,Lee's Summit,Missouri,Jackson,US
42.2506,-71.0187,Quincy,Massachusetts,Norfolk,US
42.4781,-70.9664,Lynn,Massachusetts,Essex,US
31.4424,-100.4504,San Angelo,Texas,Tom Green,US
47.3091,-122.3358,Federal Way,Washington,King,US
36.9716,-86.4378,Bowling Green,Kentucky,Warren,US
46.8143,-100.7694,Bismarck,North Dakota,Burleigh,US
34.3975,-117.3147,Hesperia,California,San Bernardino,US
27.8227,-82.3023,Riverview,Florida,Hillsborough,US
39.9946,-105.0998,Lafayette,Colorado,Boulder,US
26.3196,-98.1597,Edinburg,Texas,Hidalgo,US
33.1896,-117.2386,Vista,California,San Diego,US
39.9650,-86.1460,Carmel,Indiana,Hamilton,US
29.8976,-81.3100,St. Augustine,Florida,St. Johns,US
45.4779,-122.8168,Beaverton,Oregon,Washington,US
36.8468,-76.3540,Portsmouth,Virginia,Portsmouth,US
39.9588,-85.9659,Fishers,Indiana,Hamilton,US
40.2981,-111.6994,Orem,Utah,Utah,US
40.5709,-111.8506,Sandy,Utah,Salt Lake,US
26.1547,-80.2997,Sunrise,Florida,Broward,US
43.0580,-70.7826,Portsmouth,New Hampshire,Rockingham,US
33.1786,-111.5629,San Tan Valley,Arizona,Pinal,US
33.8930,-118.2274,Compton,California,Los Angeles,US
38.9597,-95.2642,Lawrence,Kansas,Douglas,US
38.6017,-121.3845,Arden-Arcade,California,Sacramento,US
30.2887,-89.7828,Slidell,Louisiana,St. Tammany,US
26.3752,-80.1080,Boca Raton,Florida,Palm Beach,US
42.3972,-83.3733,Livonia,Michigan,Wayne,US
33.8374,-118.2559,Carson,California,Los Angeles,US
37.2693,-76.7076,Williamsburg,Virginia,Williamsburg,US
